index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
577373,1099,1,01/12/2014,1236,1,1,0,0,12440
190561,791,1,11/05/2015,858,1,0,0,0,7687
92512,1014,2,24/03/2015,1476,1,0,0,0,11807
565163,487,2,04/11/2014,737,1,1,0,0,8754
500246,427,3,13/02/2013,701,1,0,0,1,5587
223708,254,5,14/11/2014,282,1,1,0,0,3429
555732,43,5,31/01/2014,710,1,0,0,0,6423
654150,1074,2,09/06/2015,421,1,0,0,0,4445
558350,549,6,29/06/2013,380,1,0,0,0,3683
52167,1095,2,08/01/2013,720,1,1,0,0,6190
296981,295,1,28/10/2013,612,1,0,0,1,4968
332143,319,1,14/10/2013,863,1,0,0,1,7396
426553,1002,4,10/04/2014,642,1,0,0,0,4882
481847,448,6,06/12/2014,544,1,0,0,0,5282
100496,527,2,03/09/2013,1046,1,0,0,1,10317
706377,255,5,12/04/2013,652,1,1,0,0,7427
599169,581,5,04/07/2014,651,1,1,0,0,5690
55294,185,6,05/01/2013,550,1,0,0,0,6321
218737,244,6,22/11/2014,538,1,0,0,0,5635
266706,1082,6,05/01/2013,877,1,0,0,0,6147
441953,216,5,20/03/2015,837,1,1,0,0,10423
127184,350,4,05/03/2015,508,1,1,0,0,6523
312223,748,1,31/03/2014,822,1,1,0,0,10512
583377,718,1,08/12/2014,962,1,0,0,0,8724
523743,739,5,21/02/2014,789,1,1,0,0,9547
476775,614,7,21/12/2014,0,0,0,0,0,0
620142,673,2,18/02/2014,615,1,1,0,0,7027
460092,83,1,10/06/2013,367,1,0,0,0,3371
169260,976,3,18/09/2013,598,1,0,0,0,5123
177084,637,6,06/04/2013,518,1,0,0,0,5243
645354,122,2,07/01/2014,714,1,1,0,0,7141
645737,898,1,24/11/2014,1013,1,1,0,0,11851
272578,1080,4,26/06/2014,710,1,0,0,0,7582
600374,291,1,30/03/2015,1290,1,1,0,0,15232
566038,24,4,03/01/2013,711,1,0,0,1,6806
381862,1096,7,18/08/2013,0,0,0,0,0,0
535335,637,5,30/05/2014,860,1,0,0,0,9311
499411,1002,2,02/06/2015,850,1,1,0,0,7727
625219,666,1,10/03/2014,497,1,0,0,0,4778
61823,1089,7,24/11/2013,0,0,0,0,0,0
653471,334,6,31/08/2013,515,1,0,0,0,5394
441789,300,6,30/08/2014,951,1,0,0,1,9319
155435,207,1,22/09/2014,1166,1,0,0,0,8784
226567,683,3,27/05/2015,854,1,0,0,0,7341
107330,1094,2,14/05/2013,394,1,1,0,0,4964
149417,700,4,09/07/2015,576,1,0,0,0,5107
191690,959,2,26/08/2014,744,1,0,0,0,6156
146544,766,7,22/06/2014,0,0,0,0,0,0
383603,1011,6,08/06/2013,977,1,0,0,0,8074
452941,570,5,13/12/2013,676,1,0,0,0,7635
629103,685,2,10/09/2013,689,1,1,0,0,8289
30258,158,3,16/04/2014,681,1,1,0,1,7768
219501,66,5,29/05/2015,522,1,0,0,1,5069
528607,76,2,30/07/2013,1080,1,1,0,0,8863
397525,572,3,16/10/2013,458,1,0,0,0,5123
314281,184,6,11/10/2014,510,1,0,0,0,5182
489418,1034,5,06/12/2013,775,1,1,0,0,6790
182776,559,7,11/08/2013,0,0,0,0,0,0
335928,862,2,23/12/2014,1561,1,0,0,1,14624
198358,171,2,11/11/2014,962,1,1,0,0,10362
400219,33,7,07/12/2014,0,0,0,0,0,0
427476,936,4,27/11/2014,963,1,1,0,0,8642
31892,948,2,18/02/2014,1682,1,1,0,0,7793
109374,371,6,04/05/2013,551,1,0,0,0,6073
385320,242,1,05/05/2014,378,1,1,0,0,4573
517169,133,5,17/01/2014,622,1,0,0,0,4971
369733,1031,1,15/12/2014,681,1,1,0,0,8212
71343,850,4,07/02/2013,710,1,1,0,0,6966
42363,860,5,05/06/2015,833,1,1,0,0,7469
612665,836,6,06/07/2013,301,1,0,0,0,2448
428563,965,6,30/11/2013,908,1,0,0,0,8721
610249,1096,1,26/01/2015,763,1,1,0,0,8577
669222,504,3,03/09/2014,836,1,1,0,1,7791
484348,230,1,30/12/2013,1327,1,0,0,1,11125
194089,826,1,02/12/2013,1170,1,1,0,0,10588
328888,975,2,30/07/2013,767,1,1,0,1,8778
485880,602,2,28/10/2014,547,1,0,0,1,5000
699868,953,5,19/09/2014,553,1,1,0,0,5680
265929,187,6,02/11/2013,491,1,0,0,0,4909
154648,792,5,18/10/2013,599,1,0,0,0,4926
376328,1035,4,27/11/2014,744,1,1,0,0,6218
530275,523,3,29/07/2015,1515,1,1,0,1,13044
441109,723,4,04/04/2013,461,1,0,0,1,5016
26050,1025,7,26/05/2013,0,0,0,0,0,0
247671,18,7,04/01/2015,0,0,0,0,0,0
615467,997,3,03/09/2014,378,1,1,0,1,4894
267972,400,6,05/10/2013,805,1,0,0,0,6132
22318,1047,2,09/07/2013,491,1,0,0,0,4295
430083,819,1,02/09/2013,472,1,0,0,0,4255
510014,668,1,02/06/2014,1562,1,1,0,0,12797
343803,585,4,22/01/2015,666,1,0,0,0,4478
85161,99,1,10/03/2014,404,1,0,0,0,4182
505852,965,6,22/11/2014,847,1,0,0,0,7296
266131,590,4,21/02/2013,376,1,1,0,0,4586
397091,709,2,02/06/2015,1682,1,1,0,0,12806
112013,58,7,20/10/2013,0,0,0,0,0,0
492019,409,7,09/02/2014,0,0,0,0,0,0
73240,850,6,04/04/2015,826,1,0,0,0,8151
203948,1058,3,06/03/2013,737,1,1,0,0,7695
603210,1067,7,13/04/2014,0,0,0,0,0,0
82813,777,1,21/04/2014,0,0,0,b,1,0
634511,155,3,21/05/2014,632,1,1,0,0,6739
28171,598,1,29/06/2015,871,1,1,0,0,10092
198571,493,2,01/07/2014,902,1,1,0,0,9168
70073,628,7,03/08/2014,0,0,0,0,1,0
551321,524,1,30/12/2013,1193,1,0,0,1,11342
509286,966,4,04/04/2013,585,1,0,0,1,4468
24413,1022,5,27/12/2013,791,1,0,0,1,6246
367168,380,3,05/03/2014,1720,1,1,0,0,19084
103724,132,3,14/01/2015,579,1,1,0,0,6500
704886,400,5,26/06/2015,999,1,0,0,0,8482
568270,988,4,29/08/2013,790,1,1,0,0,8735
627934,906,2,19/03/2013,1476,1,1,0,0,14249
520091,1028,2,05/11/2013,689,1,1,0,0,5900
505933,1100,6,23/03/2013,484,1,0,0,0,4404
67603,759,1,14/01/2013,607,1,0,0,0,5172
96570,223,1,27/10/2014,716,1,0,0,0,6173
696883,936,7,15/03/2015,0,0,0,0,0,0
216455,780,6,11/07/2015,341,1,0,0,0,3114
472114,259,5,28/11/2014,2677,1,1,0,0,13053
437836,131,6,09/11/2013,582,1,0,0,0,5618
467331,251,3,28/01/2015,2241,1,1,0,0,18043
423483,1079,6,17/01/2015,517,1,0,0,0,6164
533535,1003,3,05/03/2014,1029,1,1,0,0,9057
82465,980,4,05/09/2013,450,1,0,0,0,4470
245480,654,2,27/01/2015,766,1,1,0,0,8085
155723,966,4,25/07/2013,517,1,0,0,1,4042
167485,1020,1,22/09/2014,929,1,0,0,0,7283
574217,969,3,19/03/2014,610,1,1,0,0,4898
307718,1038,2,07/04/2015,490,1,0,0,1,4993
250666,516,3,09/07/2014,453,1,0,0,1,4103
233447,733,1,14/01/2013,3171,1,0,0,0,14110
9408,595,6,31/05/2014,1881,1,0,0,0,15121
532318,260,3,16/07/2014,962,1,1,0,1,6792
213221,768,6,02/02/2013,1251,1,0,0,0,10727
149118,940,1,14/01/2013,627,1,0,0,0,5214
643815,364,4,27/06/2013,563,1,0,0,0,4619
205464,506,3,22/07/2015,763,1,0,0,1,6628
172737,671,3,29/05/2013,507,1,1,0,1,6197
358803,300,6,24/01/2015,862,1,0,0,0,7509
432064,84,2,17/06/2014,1563,1,1,0,0,16590
243176,219,4,07/05/2015,455,1,1,0,0,4487
165487,934,5,22/03/2013,764,1,1,0,0,6903
206630,125,3,01/04/2015,1906,1,1,0,1,16533
380228,176,3,04/12/2013,757,1,1,0,0,6780
278339,223,2,26/11/2013,675,1,0,0,0,5803
125602,326,1,14/07/2014,429,1,1,0,0,5479
707930,339,2,27/08/2013,745,1,1,0,0,5370
647013,872,3,08/04/2015,659,1,0,0,1,5935
404917,579,7,23/11/2014,0,0,0,0,0,0
607690,974,5,28/02/2014,1599,1,0,0,0,11702
63394,979,7,12/04/2015,0,0,0,0,0,0
334403,880,3,04/06/2014,806,1,1,0,0,7379
440195,910,7,31/03/2013,0,0,0,0,0,0
87636,1084,6,04/07/2015,614,1,0,0,0,5356
189540,92,5,12/06/2015,453,1,0,0,0,4630
18218,14,6,20/06/2015,402,1,0,0,0,4093
396021,587,1,30/12/2013,960,1,0,0,1,9846
442052,230,4,24/10/2013,856,1,1,0,0,6640
397202,689,6,15/03/2014,589,1,0,0,0,5727
251121,599,1,13/05/2013,1096,1,1,0,0,11252
463013,596,7,22/12/2013,0,0,0,0,0,0
655331,576,1,11/03/2013,749,1,0,0,0,6112
327407,141,4,26/06/2014,493,1,0,0,0,4419
355157,751,1,21/04/2014,0,0,0,b,1,0
654124,877,5,01/03/2013,925,1,0,0,0,7857
602473,375,2,23/04/2013,948,1,1,0,0,8879
414480,230,1,08/12/2014,988,1,0,0,0,7301
574764,545,3,22/01/2014,1087,1,1,0,0,11781
136740,1022,1,04/03/2013,1093,1,1,0,0,11467
240843,597,3,20/08/2014,756,1,1,0,1,5378
130323,559,7,08/06/2014,0,0,0,0,0,0
688030,1024,6,18/07/2015,825,1,0,0,0,6755
43133,36,2,17/03/2015,1205,1,1,0,0,11402
172856,702,2,28/05/2013,351,1,1,0,1,4005
446048,623,7,10/02/2013,0,0,0,0,0,0
36534,105,4,17/10/2013,483,1,0,0,0,4051
612801,902,2,19/11/2013,648,1,1,0,0,5020
256750,11,6,11/04/2015,786,1,0,0,0,7666
623446,1039,5,28/06/2013,629,1,0,0,0,5893
63314,102,1,16/02/2015,1174,1,1,0,0,9885
238452,543,5,18/10/2013,175,1,0,0,1,1684
43919,827,4,02/01/2014,1910,1,0,0,1,13606
258378,110,3,08/10/2014,647,1,1,0,0,5666
59774,945,1,05/01/2015,698,1,1,0,1,6810
31637,582,3,12/03/2014,749,1,0,0,0,5884
673741,554,4,16/01/2014,428,1,0,0,0,3790
659942,486,2,08/07/2014,384,1,0,0,1,3828
349639,637,6,15/02/2014,520,1,0,0,0,5475
394865,806,5,31/01/2014,578,1,0,0,0,6507
255648,887,6,21/06/2014,462,1,0,0,0,4705
379128,374,6,04/04/2015,668,1,0,0,0,7224
540897,1025,5,04/01/2013,804,1,0,0,1,6334
662220,638,2,06/08/2013,431,1,0,0,1,4968
160268,123,6,09/05/2015,490,1,0,0,0,5379
654290,905,4,19/02/2015,1108,1,1,0,0,7295
599039,536,5,05/04/2013,989,1,0,0,1,8138
651027,763,7,01/02/2015,0,0,0,0,0,0
553569,191,6,10/08/2013,694,1,0,0,0,7102
271750,957,4,20/02/2014,948,1,1,0,0,8367
709864,268,4,04/06/2015,618,1,1,0,0,6112
300796,654,6,07/09/2013,266,1,0,0,0,2482
413674,612,6,07/09/2013,388,1,0,0,0,3790
8402,747,3,27/08/2014,567,1,0,0,1,5524
310059,656,6,18/05/2013,380,1,0,0,0,3106
319105,368,5,05/04/2013,592,1,0,0,1,6303
689752,959,3,18/09/2013,552,1,0,0,0,4506
516276,329,2,03/02/2015,708,1,1,0,0,8521
338342,97,3,22/07/2015,535,1,0,0,1,4604
666229,314,2,13/08/2013,661,1,1,0,1,7389
8353,463,7,11/01/2015,0,0,0,0,0,0
386012,258,1,20/05/2013,0,0,0,a,0,0
471619,283,3,13/11/2013,621,1,0,0,0,5578
612347,556,1,15/04/2013,754,1,0,0,0,5732
514445,388,5,24/01/2014,1211,1,1,0,0,10654
396179,67,3,03/09/2014,837,1,1,0,1,8494
590638,725,5,16/01/2015,677,1,1,0,0,6592
683448,219,4,06/06/2013,416,1,1,0,0,3250
218062,1077,2,10/02/2015,479,1,0,0,0,4737
706606,322,4,23/05/2013,589,1,0,0,0,5215
453487,814,3,20/02/2013,581,1,1,0,1,5310
240904,134,7,30/06/2013,0,0,0,0,0,0
326681,54,4,11/07/2013,657,1,0,0,0,5672
272937,662,5,26/04/2013,854,1,1,0,0,9159
11415,126,7,19/04/2015,0,0,0,0,0,0
436957,1001,6,30/11/2013,471,1,0,0,0,4228
171033,657,4,13/02/2014,598,1,0,0,0,4403
632521,590,4,14/03/2013,319,1,0,0,0,3441
179002,193,3,25/12/2013,0,0,0,c,1,0
345971,168,6,21/09/2013,465,1,0,0,0,4704
463457,16,1,22/07/2013,839,1,0,0,0,6836
674866,244,1,04/02/2013,738,1,1,0,0,7749
479231,545,7,08/02/2015,0,0,0,0,0,0
369184,1032,6,19/01/2013,492,1,0,0,0,4346
564608,290,5,31/05/2013,987,1,1,0,0,10674
421305,548,4,24/01/2013,335,1,1,0,0,3794
312789,733,1,04/08/2014,3508,1,1,0,1,16414
548456,654,4,06/06/2013,716,1,1,0,0,7128
195259,272,6,04/05/2013,377,1,0,0,0,4009
669573,1017,3,20/03/2013,1176,1,1,0,0,8614
599293,708,2,20/05/2014,462,1,1,0,0,4747
33900,819,4,08/01/2015,454,1,1,0,0,4996
74619,99,3,26/06/2013,372,1,0,0,0,3734
284898,982,2,10/12/2013,710,1,0,0,0,6126
402135,683,5,03/04/2015,0,0,1,b,1,0
447277,194,3,16/10/2013,373,1,0,0,0,4012
588164,853,2,30/06/2015,1201,1,1,0,0,13553
456931,53,1,28/04/2014,650,1,1,0,1,7540
221701,281,4,07/02/2013,508,1,1,0,0,5682
535271,101,2,02/09/2014,879,1,1,0,0,9200
171677,440,5,05/06/2015,769,1,1,0,1,7585
226127,994,2,18/03/2014,435,1,1,0,0,5037
414979,168,2,30/07/2013,930,1,1,0,1,8617
500051,48,7,27/10/2013,0,0,0,0,0,0
329177,652,6,15/02/2014,501,1,0,0,0,4723
541113,934,6,11/01/2014,474,1,0,0,0,4513
124681,223,6,29/03/2014,589,1,0,0,0,5417
284177,378,5,26/12/2014,0,0,0,c,1,0
90749,865,3,17/07/2013,624,1,1,0,0,7809
237894,466,5,31/01/2014,861,1,0,0,0,7880
506152,789,5,14/02/2014,546,1,0,0,0,4077
622882,61,7,07/06/2015,0,0,0,0,0,0
34430,765,4,19/12/2013,1068,1,1,0,0,13023
268594,673,1,23/02/2015,500,1,0,0,0,4396
368485,258,3,25/06/2014,444,1,0,0,0,4248
602478,740,3,08/10/2014,499,1,1,0,0,6294
202788,1080,1,16/09/2013,764,1,0,0,0,7843
675955,918,5,20/06/2014,661,1,1,0,0,6297
611958,857,6,22/06/2013,1004,1,0,0,0,7762
597571,837,1,01/07/2013,482,1,1,0,0,4574
317074,516,7,01/03/2015,0,0,0,0,0,0
380943,446,2,27/05/2014,505,1,0,0,0,4076
649251,835,4,30/05/2013,0,0,1,a,0,0
386136,140,7,03/02/2013,0,0,0,0,0,0
411910,207,3,14/08/2013,1584,1,1,0,0,13934
119756,961,4,29/01/2015,668,1,1,0,0,6156
251963,772,2,18/03/2014,507,1,1,0,0,4070
292719,1089,2,02/09/2014,1050,1,1,0,0,10689
77065,521,3,05/03/2014,421,1,1,0,0,5795
206967,823,5,17/01/2014,600,1,0,0,0,4946
521339,436,6,14/09/2013,426,1,0,0,0,3518
363365,483,7,09/03/2014,0,0,0,0,0,0
481077,215,2,25/03/2014,333,1,0,0,0,4003
711386,109,5,29/05/2015,802,1,0,0,0,8715
66970,858,1,16/12/2013,590,1,1,0,0,7381
435729,425,4,05/03/2015,501,1,1,0,0,4877
426284,357,5,24/07/2015,905,1,0,0,1,7167
435236,255,1,02/02/2015,575,1,1,0,0,7826
199039,798,6,07/02/2015,343,1,0,0,0,3199
99250,366,6,23/03/2013,304,1,0,0,0,2910
580140,534,2,07/04/2015,510,1,0,0,1,4635
254820,179,5,20/06/2014,1176,1,1,0,0,10554
155130,258,2,03/09/2013,464,1,0,0,1,4485
503682,693,5,29/08/2014,384,1,0,0,1,3972
288534,999,4,24/10/2013,685,1,1,0,1,7894
67050,834,6,19/04/2014,492,1,0,0,0,4931
174771,512,4,31/10/2013,1410,1,0,0,1,6090
442288,818,2,23/04/2013,662,1,1,0,0,6765
606734,534,6,12/10/2013,606,1,0,0,0,6260
431156,1084,2,17/12/2013,1099,1,1,0,0,12252
424121,34,2,10/03/2015,861,1,0,0,0,7546
557753,101,4,27/03/2014,686,1,0,0,0,5845
520831,187,1,02/03/2015,885,1,1,0,0,9532
376589,20,1,23/09/2013,1041,1,1,0,0,9426
7670,828,7,26/10/2014,0,0,0,0,0,0
303546,434,1,12/08/2013,823,1,1,0,1,10619
236740,738,1,04/05/2015,864,1,1,0,0,11132
145734,351,5,07/03/2014,569,1,1,0,0,7226
134420,1020,4,30/01/2014,905,1,0,0,0,6786
691699,86,7,11/08/2013,0,0,0,0,0,0
233889,266,3,17/06/2015,573,1,1,0,0,5312
653554,608,5,20/06/2014,1024,1,1,0,0,9584
481046,708,5,21/02/2014,493,1,1,0,1,4742
423103,734,3,05/02/2014,605,1,1,0,0,6588
693486,776,7,07/06/2015,0,0,0,0,0,0
90193,1060,2,09/04/2013,853,1,1,0,0,7200
119482,182,2,29/04/2014,507,1,1,0,0,6742
525167,542,3,16/01/2013,431,1,0,0,0,4589
239754,602,1,06/05/2013,610,1,0,0,0,5314
332806,101,4,07/11/2013,777,1,1,0,0,7634
142056,784,7,30/06/2013,0,0,0,0,0,0
673000,679,7,17/11/2013,0,0,0,0,0,0
567353,535,4,14/08/2014,793,1,0,0,1,6480
696641,844,4,06/02/2014,516,1,1,0,0,5248
628766,595,7,24/05/2015,0,0,0,0,0,0
544695,25,6,30/03/2013,1831,1,0,0,0,13283
652921,416,3,03/12/2014,1819,1,1,0,0,15372
436682,539,4,22/01/2015,966,1,0,0,0,8720
158580,77,3,28/08/2013,642,1,1,0,0,6794
184394,641,2,09/07/2013,493,1,0,0,0,4426
523534,445,6,10/01/2015,1201,1,0,0,0,9578
133026,318,5,03/05/2013,822,1,1,0,0,7826
296285,394,3,13/11/2013,539,1,0,0,0,5821
14477,761,5,07/02/2014,1014,1,1,0,1,9515
130799,706,2,28/07/2015,578,1,1,0,0,7853
17306,41,5,28/02/2014,433,1,0,0,0,4611
617975,894,1,07/07/2014,958,1,0,0,1,7409
668657,169,6,03/05/2014,801,1,0,0,0,7360
460228,1012,1,09/06/2014,0,0,0,a,0,0
26534,310,4,29/08/2013,868,1,1,0,0,8273
8504,1003,3,22/01/2014,847,1,1,0,0,6734
253700,970,3,28/08/2013,429,1,1,0,0,4524
586553,239,5,27/09/2013,627,1,1,0,0,6944
463307,998,1,16/03/2015,647,1,1,0,0,6881
245670,278,5,14/06/2013,692,1,0,0,0,5991
291128,49,2,26/05/2015,539,1,0,0,1,5407
615053,603,3,28/08/2013,0,0,1,0,1,0
263461,658,2,30/04/2013,824,1,1,0,0,9747
42414,1072,3,06/02/2013,786,1,1,0,0,8200
527688,1028,2,22/10/2013,587,1,1,0,1,5641
697845,288,4,18/06/2015,489,1,1,0,0,5911
28136,111,1,30/03/2015,838,1,1,0,1,11261
245444,581,2,14/07/2015,703,1,1,0,0,7693
394116,979,7,12/05/2013,0,0,0,0,0,0
601504,644,7,22/02/2015,0,0,0,0,0,0
349857,589,1,03/06/2013,577,1,1,0,0,6034
658989,295,2,25/02/2014,619,1,0,0,0,4508
73913,388,1,18/02/2013,1586,1,1,0,0,14971
579219,9,6,04/10/2014,621,1,0,0,0,6863
628094,445,4,29/08/2013,1381,1,1,0,1,11269
430442,204,4,05/09/2013,445,1,0,0,1,4604
694123,296,1,06/10/2014,1011,1,1,0,0,11069
637678,497,7,24/05/2015,0,0,0,0,0,0
697006,481,1,18/02/2013,523,1,1,0,0,6538
174454,1100,6,06/12/2014,569,1,0,0,0,5018
290329,588,6,14/12/2013,614,1,0,0,0,6661
79977,290,2,07/01/2014,918,1,1,0,1,9758
561228,1107,4,28/05/2015,635,1,0,0,1,6613
645402,1019,6,25/01/2014,820,1,0,0,0,7523
187053,945,5,17/01/2014,545,1,0,0,0,5067
545699,770,7,26/10/2014,0,0,0,0,0,0
101633,1041,4,15/08/2013,0,0,1,a,1,0
281213,433,3,31/07/2013,898,1,1,0,1,8618
303302,190,2,19/11/2013,738,1,1,0,0,8505
358148,843,3,29/07/2015,962,1,1,0,1,8152
686634,937,3,27/03/2013,689,1,1,0,1,8551
66159,333,7,09/06/2013,0,0,0,0,0,0
668588,302,3,01/10/2014,337,1,1,0,0,3826
402857,329,7,29/03/2015,0,0,0,0,0,0
354382,1034,6,08/11/2014,290,1,0,0,0,2670
12107,734,6,10/01/2015,289,1,0,0,0,2961
469435,892,4,10/10/2013,861,1,1,0,0,8160
500089,96,4,04/04/2013,532,1,0,0,1,4685
290988,578,2,23/06/2015,762,1,0,0,0,6404
178794,593,3,09/04/2014,1035,1,0,0,0,7136
624708,958,2,06/05/2014,595,1,1,0,0,6739
677489,944,5,05/09/2014,1135,1,1,0,1,7454
298677,524,5,15/11/2013,913,1,0,0,0,8478
703190,311,1,23/12/2013,1049,1,0,0,1,10530
130811,501,3,18/02/2015,615,1,1,0,1,6731
110239,1039,3,31/07/2013,1233,1,1,0,1,11805
624648,511,1,14/07/2014,863,1,1,0,0,8886
217090,58,4,30/07/2015,594,1,1,0,0,7323
110364,963,5,24/07/2015,717,1,0,0,1,6420
678970,860,4,23/01/2014,638,1,1,0,0,4761
418148,114,1,08/06/2015,515,1,0,0,0,4718
445220,20,3,13/02/2013,753,1,0,0,1,6398
126944,33,4,20/06/2013,743,1,1,0,0,8156
349411,255,2,19/02/2013,621,1,1,0,0,6357
630781,458,7,21/09/2014,0,0,0,0,0,0
463948,963,6,24/08/2013,354,1,0,0,0,3531
452373,167,7,07/06/2015,0,0,0,0,0,0
324245,849,6,18/04/2015,861,1,0,0,0,8430
222694,208,7,29/06/2014,0,0,0,0,0,0
48646,85,6,09/11/2013,687,1,0,0,0,5934
626354,341,7,03/08/2014,0,0,0,0,0,0
651600,841,5,13/03/2015,425,1,0,0,0,4066
85679,234,3,27/11/2013,787,1,0,0,0,7381
183869,333,7,12/10/2014,0,0,0,0,0,0
283159,78,7,14/04/2013,0,0,0,0,0,0
634703,764,7,12/01/2014,0,0,0,0,0,0
